SITE_ID,IGBP,GRP_LOCATION.LOCATION_LAT,GRP_LOCATION.LOCATION_LONG,GRP_LOCATION.LOCATION_ELEV,GRP_CLIM_AVG.MAT,GRP_CLIM_AVG.MAP,GRP_CLIM_AVG.CLIMATE_KOEPPEN,UTC_OFFSET,data_year_length,SC_source,NEE_source,FC,FC_F,SC,SC_F,NEE,NEE_F,LE,LE_F,H,H_F,USTAR,USTAR_F,NETRAD,NETRAD_F,TA,TA_F,VPD,VPD_F,WS,WS_F,SWC,SWC_F,SW_IN,SW_IN_F
US-ICt,OSH,68.6063,-149.3041,930,-7.4,318,ET,-9,5,negligible,FC+SC,0.28557411464038,0.666666666666667,1,1,0.28557411464038,0.666666666666667,0.296720974808324,0.666666666666667,0.307206097115736,0.666666666666667,0.308381252281855,0.666666666666667,0.181133625410734,0.541666666666667,0.473233844468784,0.708333333333333,0.453609894121942,0.708333333333333,0.218578860898138,0.583333333333333,0.0794998174516247,0.416666666666667,0.311256389193136,0.708333333333333
US-Ivo,WET,68.4865,-155.7503,568,-8.28,304,ET,-9,14,-9999,NEE,0.202666699256942,1,0.0179857580497979,0.25,0.00749983704862469,0.208333333333333,0.316675628992309,1,0.319673934298006,1,0.400220799113545,1,0.5397234715161,1,0.537747686090471,1,0.469906954764698,1,0.499042660670056,1,0.174814235432147,1,0.539275355233998,1
US-Jo1,OSH,32.582,-106.635,1188,14.7,245.1,Bwk,-7,10,negligible,FC+SC,0.628842807838216,1,1,1,0.628842807838216,1,0.660743318406115,1,0.79232721982943,1,0.919090675718075,1,0.720379930973502,1,0.841512878290881,1,0.841512878290881,1,0,0,0.831272996948002,1,0.720385635642774,1
US-Jo2,OSH,32.5849,-106.6032,1469,17.5,282.3,Bwk,-7,10,SC,FC+SC,0.663015699160277,1,0.765185742971888,1,0.663015699160277,1,0.764478368017525,1,0.778123859072654,1,0.77818661007667,1,0.83852455275648,1,0.837201077035414,1,0.835649415845199,1,0.77818661007667,1,0.844776834611172,1,0.519932000730194,1
US-JRn,GRA,39.6789,-80.1646,384.048,13.2,1095.5,Cfa,-5,2,negligible,FC+SC,0.280259146341463,1,1,1,0.280259146341463,1,0.334933943089431,1,0.398805894308943,1,0.582139227642276,1,0.69984756097561,1,0.703099593495935,1,0.688719512195122,1,0.582139227642276,1,0,0,0,0
US-KFS,GRA,39.0561,-95.1907,310,12,1014,Cfa,-6,13,-9999,NEE,0.524718849686051,1,0.745216166526987,1,0.728191379665911,1,0.784548689574073,1,0.826522687283625,1,0.834157514381118,1,0.69565560786826,1,0.839550159497681,1,0.761117668481766,1,0.848216127036502,1,0.67344001614722,1,0.538426435808217,1
US-KL1,CRO,42.4847,-85.4422,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.606551204819277,1,1,1,0.606551204819277,1,0.783731516976999,1,0.904247672508215,1,0.900516840087623,1,0,0,0,0,0,0,0.900168857247171,1,0.943170408908361,1,0,0
US-KL2,CRO,42.4767,-85.4467,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.622307411464038,1,1,1,0.622307411464038,1,0.790023731288792,1,0.918155576852866,1,0.918554901423877,1,0,0,0,0,0,0,0.9193535505659,1,0.953164932457101,1,0,0
US-KL3,CRO,42.4736,-85.4474,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.576419313618109,1,1,1,0.576419313618109,1,0.791683780576853,1,0.905171823658269,1,0.905411418400876,1,0,0,0,0,0,0,0.902804399415845,1,0.954887732749178,1,0,0
US-KLS,GRA,38.7745,-97.5684,373,12,812,Cfa,-6,6,-9999,NEE,0.432904053604524,1,0.584821555861807,1,0.482896925343345,1,0.637447132062919,1,0.695224065009742,1,0.739143658223637,1,0.610160148267832,1,0.728308701230813,1,0.698826212992444,1,0.740008553913415,1,0.672565698807204,1,0.624625766288077,1
US-KM1,GRA,42.4376,-85.3287,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.551147772909821,1,1,1,0.551147772909821,1,0.700580732018985,1,0.856745162468054,1,0.864885679079956,1,0,0,0,0,0,0,0.854931087988317,1,0.959799424972618,1,0,0
US-KM2,GRA,42.4427,-85.3104,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.577873995983936,1,1,1,0.577873995983936,1,0.738254152975539,1,0.897179627601314,1,0.896438024826579,1,0,0,0,0,0,0,0.889911920408908,1,0.965629563709383,1,0,0
US-KM3,GRA,42.444,-85.3097,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.567714037970062,1,1,1,0.567714037970062,1,0.727763326031398,1,0.888480056589996,1,0.884515334063527,1,0,0,0,0,0,0,0.895245755750274,1,0.931721202993793,1,0,0
US-KM4,CRO,42.4423,-85.3301,288,9.9,1027,Dfa,-5,10,negligible,FC+SC,0.506566036874772,1,1,1,0.506566036874772,1,0.65440169769989,1,0.870875547645126,1,0.871366146403797,1,0.78120436290617,1,0,0,0,0,0.820657630522088,1,0.9405177528295,1,0,0
US-Kon,GRA,39.0824,-96.5603,417,12.77,867,Cfa,-6,16,-9999,NEE,0.529262667061185,1,0.528995297867107,1,0.491189293824485,1,0.7417213585207,1,0.734309884460859,1,0.760315994738174,1,0.817714813322829,1,0.769306729504369,1,0.760458591641683,1,0.781138707572965,1,0.649999465261612,1,0.830691131542079,1
US-KS2,CSH,28.6086,-80.6715,3,21.66,1294,Cwa,-5,8,-9999,NEE,0.306781884553958,1,0.386614476386037,1,0.477833390371891,1,0.60020961670089,1,0.567184291581109,1,0.680077857631759,1,0.798874914442163,1,0.806846052931782,1,0.641027834816336,1,0.678117157198266,1,0,0,0.384297284964636,1
US-KS4,WET,28.6,-80.7207,0.5,22.3,1340,Cwa,-5,2,SC,FC+SC,0.543667664385259,1,0.749871313366252,1,0.543667664385259,1,0.734447982002936,1,0.757192152975044,1,0.757573446704669,1,0.753226698186948,1,0.757954740434294,1,0.750843612376794,1,0.757954740434294,1,0,0,0.493127180523516,1
US-KUT,GRA,44.995,-93.1863,301,7.9,777,Dfa,-6,5,-9999,NEE,0.431247718145308,1,0.621383260313983,1,0.700609255202629,1,0.592243975903614,1,0.593784227820372,1,0.607281398320555,1,0.563538243884629,1,0.700609255202629,1,0.401937294633078,1,0.621383260313983,1,0.535642570281124,1,0.699114640379701,1
US-LA2,WET,29.8587,-90.2869,0,20.2,1655,Cfa,-6,2,negligible,FC+SC,0.318607366941789,1,1,1,0.318607366941789,1,0.423470498584803,1,0.502484017180294,1,0.604516754745363,1,0,0,0.604457375848623,1,0.582229875502246,1,0.604516754745363,1,0,0,0.666646873701087,1
