site,start,end,htower
US-FPe,all,all,3.5
US-FR2,all,all,7.97
US-Fuf,all,all,23
US-Fwf,all,all,2.5
US-GBT,all,all,27.12
US-GLE,all,all,23
US-GMF,all,all,34
US-Goo,all,all,4
US-Ha1,all,all,30
US-Ha2,all,all,29
US-Ho1,all,all,29
US-Ho2,all,all,29
US-Ho3,all,all,29
US-HVa,all,all,2
US-IB1,all,all,4.05
US-IB2,all,all,3.76
US-ICh,all,all,3.18
US-ICs,all,all,3.5
US-ICt,all,all,2.82
US-Ivo,all,all,3.8
US-KFS,all,all,3
US-Kon,all,all,3
US-KS1,all,all,18
US-KS2,all,200404130000,3.5
US-KS2,200404130000,all,4.1
US-KUT,all,all,1.35
US-Lin,all,all,9.18
US-Los,all,all,10.2
US-LPH,all,all,20.5
US-LWW,all,all,3
US-Me1,all,all,10
US-Me2,all,all,32
US-Me3,all,all,12
US-Me4,all,all,47
US-Me5,all,all,12
US-Me6,all,all,12
US-MOz,all,all,30
US-Mpj,all,all,9
US-Myb,all,201110270030,3.05
US-Myb,201110270030,201403190030,3.7
US-Myb,201403190030,201403260030,4.9
US-Myb,201403260030,all,5.7
US-NC1,all,all,6
US-NC2,all,all,22.5
US-Ne1,all,200105250100,3
US-Ne1,200105250100,200106280800,3
US-Ne1,200106280800,200110181100,6.2
US-Ne1,200110181100,200207011200,3
US-Ne1,200207011200,200211061400,6.2
US-Ne1,200211061400,200307071100,3
US-Ne1,200307071100,200310281300,6.2
US-Ne1,200310281300,200407011500,3
US-Ne1,200407011500,200410181000,6.2
US-Ne1,200410181000,200506231900,3
US-Ne1,200506231900,200510131400,6.2
US-Ne1,200510131400,200606282000,3
US-Ne1,200606282000,200610062200,6.2
US-Ne1,200610062200,200706201400,3
US-Ne1,200706201400,200711191100,6.2
US-Ne1,200711191100,200806201100,3
US-Ne1,200806201100,200811171400,6.2
US-Ne1,200811171400,200906191000,3
US-Ne1,200906191000,200911101700,6.2
US-Ne1,200911101700,201006181300,3
US-Ne1,201006181300,201009221200,6.2
US-Ne1,201009221200,201107071300,3
US-Ne1,201107071300,201110261200,6.2
US-Ne1,201110261200,201206180900,3
US-Ne1,201206180900,201210101400,6.2
US-Ne1,201210101400,all,3
US-Ne2,all,200106070100,3
US-Ne2,200106070100,200106281100,3
US-Ne2,200106281100,200110241100,6.2
US-Ne2,200110241100,200307071200,3
US-Ne2,200307071200,200310271200,6.2
US-Ne2,200310271200,200506232000,3
US-Ne2,200506232000,200510241200,6.2
US-Ne2,200510241200,200706201500,3
US-Ne2,200706201500,200711201400,6.2
US-Ne2,200711201400,200906191100,3
US-Ne2,200906191100,200911101500,6.2
US-Ne2,200911101500,201006181400,3
US-Ne2,201006181400,201009221400,6.2
US-Ne2,201009221400,201107071500,3
US-Ne2,201107071500,201110261100,6.2
US-Ne2,201110261100,201206181100,3
US-Ne2,201206181100,201210091500,6.2
US-Ne2,201210091500,all,3
US-Ne3,all,200106130100,3
US-Ne3,200106130100,200106281100,3
US-Ne3,200106281100,200110291600,6.2
US-Ne3,200110291600,200307071400,3
US-Ne3,200307071400,200310271100,6.2
US-Ne3,200310271100,200506240900,3
US-Ne3,200506240900,200510241200,6.2
US-Ne3,200510241200,200706201600,3
US-Ne3,200706201600,200711201500,6.2
US-Ne3,200711201500,200906191200,3
US-Ne3,200906191200,200911111600,6.2
US-Ne3,200911111600,201107081100,3
US-Ne3,201107081100,201110181300,6.2
US-Ne3,201110181300,all,3
US-NR1,all,all,26
US-NR2,all,all,33
US-Oho,all,all,32
US-ORv,all,all,9.6
US-PFa,all,all,396
US-Pon,all,all,4.5
US-Prr,all,all,11
US-Sdh,all,all,3.85
US-Seg,all,all,3.1
US-Ses,all,all,3.1
US-Shd,all,all,4.5
US-Slt,all,all,18.5
US-Snd,all,all,2.8
US-SO2,all,all,5
US-SO3,all,all,5
US-SO4,all,all,5
US-SP1,all,all,32
US-SP2,all,200009210000,4.2
US-SP2,200009210000,200305210000,6.4
US-SP2,200305210000,200406220000,9.4
US-SP2,200406220000,all,12.4
US-SRC,all,all,3.75
US-SRG,all,all,3.25
US-SRM,all,all,7.82
US-Sta,all,all,3
US-Syv,all,all,37
US-Ton,all,all,23
US-Tw1,all,all,4.64
US-Tw2,all,all,5.15
US-Tw3,all,all,2.8
US-Twt,all,all,2.59
US-UMB,all,all,46
US-UMd,all,all,34
US-Var,all,all,2
US-Vcm,all,all,21.65
US-Vcp,all,all,18.5
US-WCr,all,all,30
